COLUMN_1,COLUMN_2
00101 01,0010001-1
00101 02A,001001-2A
00101 02B,001001-2B
00101 03A,001001-3A
00101 03B,001001-3B
00101 04A,001001-4A
00101 04B,001001-4B
00101 05A,001001-5A
00101 05B,001001-5B
00101 06,0010001-6
00101 07,0010001-7
00101 08,0010001-8
00101 09,0010001-9
00102 01,0010002-1
00102 02,0010002-2
00102 03,0010002-3
00102 04,0010002-4
00102 05,0010002-5
00103 01,0010003-1
00103 02,0010003-2
00103 03A,001003-3A
00103 03B,001003-3B
00103 04,0010003-4
00103 05,0010003-5
00103 06,0010003-6
00103 07,0010003-7
00104 01,0010004-1
00104 02,0010004-2
00104 04,0010004-4
00104 05,0010004-5
00104 06,0010004-6
00105 01A,001005-1A
00105 02A,001005-2A
00105 03,0010005-3
00105 04,0010005-4
00105 05,0010005-5
00106 01,0010006-1
00106 02,0010006-2
00106 03A,001006-3A
00106 03B,001006-3B
00106 04,0010006-4
00106 06,0010006-6
00106 07,0010006-7
00106 08,0010006-8
00106 09,0010006-9
00106 10,001006-10
00106 11,001006-11
00106 12,001006-12
00106 13,001006-13
00106 14,001006-14
00106 15,001006-15
00106 16,001006-16
00107 02,0010007-2
00107 03,0010007-3
00107 04,0010007-4
00301 01,0030001-1
00301 02,0030001-2
00301 03,0030001-3
00301 04,0030001-4
00301 05,0030001-5
00301 06,0030001-6
00302 01,0030002-1
00302 02,0030002-2
00302 02A,00302-2-A
00302 03,0030002-3
00302 04-C,00302-4-C
00302 04-O,00302-4-O
00302 05,0030002-5
00302 06,0030002-6
00303 01,0030003-1
00303 02,0030003-2
00304 02,0030004-2
00304 03,0030004-3
00305 02,0030005-2
00305 03,0030005-3
00305 04-C,00305-4-C
00305 04-O,00305-4-O
00305 05,0030005-5
00305 07,0030005-7
00305 08A,003005-8A
00305 09,0030005-9
00305 10,003005-10
00305 12,003005-12
00305 13,003005-13
00500 01 A,005000001
00500 01 B,005000001
00500 02 A,005000002
00500 02 B,005000002
00500 03,005000003
00500 04,005000004
00500 05,005000005
00500 06 A,005000006
00500 06 B,005000006
00500 06 C,005000006
00500 07 A,005000007
00500 07 B,005000007
00500 08 A,005000008
00500 08 B,005000008
00500 09,005000009
00500 10,005000010
00500 11 A,005000011
00500 11 B,005000011
00500 12,005000012
00500 13,005000013
00500 14,005000014
00500 15,005000015
00500 16,005000016
00500 17,005000017
00500 18,005000018
00500 20,005000020
